chinese,math,english,total,school,ifpass
87,39,101,104,535,0
97,145,73,159,424,0
134,102,52,137,417,1
116,126,102,134,467,1
102,126,124,240,365,0
60,106,137,281,662,0
79,59,55,72,601,0
132,73,135,242,370,0
114,136,144,293,540,0
137,143,86,277,489,0
136,140,79,180,593,0
120,36,74,212,527,0
127,78,132,263,601,0
87,125,78,252,657,0
61,126,57,63,441,0
132,90,71,240,498,1
124,36,120,259,317,0
97,131,136,187,502,1
135,96,99,163,577,0
96,101,116,75,323,0
64,125,118,91,522,0
63,144,119,262,346,0
60,116,88,82,596,0
107,104,143,149,451,0
139,44,44,279,549,0
79,108,71,122,555,0
112,132,53,223,614,0
113,66,149,140,367,0
65,132,126,271,524,0
60,67,91,273,624,0
108,110,140,32,559,0
124,45,95,300,587,0
108,117,106,272,369,0
130,107,69,228,382,0
149,125,56,198,415,0
89,115,49,280,518,1
74,142,114,36,648,0
121,134,60,50,348,1
137,107,96,157,531,0
137,76,61,222,460,1
89,124,54,114,477,0
141,86,89,169,458,1
84,76,97,196,540,0
93,32,90,139,391,0
75,69,130,277,368,0
71,107,64,236,414,0
121,46,135,182,356,0
74,137,53,104,311,0
70,109,116,74,337,1
75,123,79,210,504,0
137,109,117,49,627,0
108,119,133,210,570,0
62,50,126,156,520,0
76,113,142,55,525,0
86,61,134,41,490,0
92,53,121,258,411,0
150,57,106,190,394,0
150,114,118,153,460,0
73,62,130,55,682,0
95,41,137,77,524,0
119,150,46,265,402,0
86,111,121,157,431,1
113,53,117,198,459,1
144,56,46,119,315,0
129,139,78,193,684,0
127,88,137,78,660,0
136,44,70,79,531,0
143,56,106,184,324,0
131,78,64,193,340,0
139,35,72,38,495,0
86,82,61,253,412,0
134,133,78,37,476,0
70,92,128,37,452,0
128,122,109,181,604,0
112,95,133,241,565,1
132,126,108,293,491,0
148,61,47,92,402,0
104,30,64,34,687,0
81,104,115,51,518,0
60,146,96,106,509,0
81,48,46,270,646,0
78,132,74,257,565,0
133,63,56,122,592,0
144,99,130,188,452,0
133,55,91,222,452,1
138,75,49,53,308,1
101,31,119,239,319,0
144,46,132,130,648,0
96,103,94,207,335,0
101,87,73,190,438,1
72,124,45,126,478,0
129,103,116,296,634,1
146,107,116,33,380,1
92,115,64,147,335,0
130,42,106,119,397,0
108,52,119,222,518,0
95,35,132,158,657,0
61,88,117,165,592,0
93,55,95,94,356,0
103,110,102,49,563,0
62,39,60,71,692,0
77,101,55,65,370,0
137,104,59,240,465,0
63,47,48,38,480,0
87,38,49,289,653,0
93,138,111,190,397,0
141,107,73,163,684,0
87,34,137,263,656,0
71,46,114,251,431,0
150,138,127,269,358,0
149,47,130,154,465,1
140,37,124,95,700,0
114,32,138,97,651,0
130,96,65,269,403,0
106,122,83,34,404,0
65,37,83,230,671,0
123,61,62,271,588,0
107,86,52,192,338,0
73,113,83,211,359,0
74,115,107,131,386,1
120,104,58,172,659,0
98,82,78,300,320,0
115,70,78,153,313,0
111,121,56,104,313,0
100,51,62,97,565,0
74,87,42,59,333,0
96,103,147,120,526,0
101,34,92,280,565,0
66,35,52,66,487,0
91,94,94,128,362,1
142,134,91,79,546,0
91,126,77,193,650,0
93,52,122,43,414,0
68,86,57,253,310,0
123,130,141,42,516,0
84,55,124,233,341,0
96,79,100,46,319,1
62,35,121,275,559,0
75,71,112,118,487,0
119,134,51,300,363,0
79,78,42,168,659,0
114,35,120,252,651,0
115,122,125,236,459,0
126,60,101,99,699,0
144,32,81,137,505,0
96,111,91,173,573,0
95,126,68,173,347,0
106,69,133,51,560,0
65,62,100,120,518,0
138,57,110,133,441,0
85,131,63,263,304,0
79,55,139,77,329,1
86,78,66,186,697,0
84,148,103,298,382,0
140,149,67,148,489,1
116,30,89,229,637,0
108,147,75,271,618,0
117,98,147,160,612,0
71,44,143,274,678,0
139,110,78,291,514,0
71,89,107,266,619,0
88,35,120,30,303,0
65,124,118,65,360,1
78,104,59,67,309,0
117,115,68,53,312,1
122,39,138,274,330,0
95,141,99,60,673,0
71,45,61,53,428,0
95,45,46,171,492,0
96,137,127,174,434,0
65,40,78,97,337,0
89,83,97,109,644,0
87,83,90,119,537,0
111,103,54,273,529,1
83,137,64,50,422,0
145,87,70,53,469,0
63,142,146,108,385,0
83,54,69,66,626,0
61,47,124,197,377,0
132,129,148,51,369,0
129,135,150,200,602,1
85,69,88,218,467,0
106,127,63,172,392,0
150,34,145,119,594,0
94,50,142,55,570,0
117,138,137,88,477,1
119,76,57,239,502,0
63,138,67,218,321,0
91,142,149,244,523,0
73,99,42,186,487,0
70,98,48,220,476,0
119,75,128,289,562,1
101,147,112,48,605,0
95,100,69,184,324,0
147,52,143,127,594,0
79,138,126,229,348,0
115,38,103,82,399,0
112,134,138,60,625,0
137,108,82,299,677,0
116,104,56,196,343,0
142,102,61,278,453,0
75,86,54,179,370,1
96,134,96,187,571,0
118,105,41,122,391,0
118,31,80,268,467,1
135,109,63,214,551,0
91,135,103,182,560,0
102,144,135,269,539,0
130,80,97,291,339,0
114,87,146,41,685,0
63,48,107,230,450,0
78,44,41,171,692,0
99,91,137,106,328,0
66,81,117,72,396,0
139,88,133,37,513,0
148,79,55,142,315,0
72,99,79,83,575,0
126,33,138,91,534,0
95,69,63,97,378,0
72,82,142,245,524,1
62,136,107,162,625,0
147,40,87,277,466,0
93,85,60,140,513,0
104,103,48,167,385,1
