like_school,wenke_school,chinese,math,english,physics,chemistry,biology,politics,history,geography,location,time,wenke_score,like_score
南方医科大学,西北政法大学,96,115,135,70,61,66,31,94,74,河北,2020,545,543
成都理工大学工程技术学院,四川外国语大学成都学院,124,39,85,99,69,31,35,49,31,陕西,2019,363,447
贵州大学,上海政法学院,63,127,100,71,89,83,62,88,98,北京,2018,538,533
漯河医学高等专科学校,湖南铁路科技职业技术学院,74,46,112,76,36,42,55,63,42,海南,2019,392,386
南京师范大学,兰州大学,136,100,140,55,41,90,30,87,80,河南,2018,573,562
河南理工大学,重庆移通学院,90,77,101,67,50,89,47,72,31,北京,2020,418,474
海口经济学院,北部湾大学,142,31,82,41,36,79,94,93,34,重庆,2024,476,411
中国传媒大学,广州大学,65,141,124,78,98,95,35,71,100,青海,2023,536,601
四川民族学院,南京农业大学,96,105,138,33,51,49,40,88,86,江苏,2025,553,472
西安职业技术学院,丽江师范高等专科学校,75,72,83,46,49,32,41,46,47,天津,2022,364,357
景德镇艺术职业大学,韶关学院,125,145,43,32,40,41,76,37,34,北京,2019,460,426
四川警察学院,重庆第二师范学院,66,121,109,76,95,62,39,62,58,西藏,2024,455,529
江南大学,山东师范大学,91,128,94,81,72,90,71,45,72,甘肃,2020,501,556
山东师范大学,湖南医药学院,73,105,134,93,36,60,46,88,65,青海,2020,511,501
中国民用航空飞行学院,韶关学院,128,45,130,92,52,44,47,44,66,云南,2024,460,491
上海政法学院,广州医科大学,133,147,52,81,83,41,59,100,56,上海,2019,547,537
成都中医药大学,广东财经大学,116,94,127,78,32,65,52,71,64,安徽,2017,524,512
长沙学院,重庆中医药学院,135,138,49,66,48,46,51,56,80,安徽,2025,509,482
福州大学,成都中医药大学,95,145,95,73,74,73,63,52,62,黑龙江,2018,512,555
北京交通大学,中国石油大学（北京）,120,143,130,53,83,79,45,79,48,黑龙江,2019,565,608
成都师范学院,重庆人文科技学院,101,77,77,74,84,65,84,51,53,北京,2023,443,478
四川轻化工大学,南京师范大学,143,106,111,31,51,48,42,85,75,内蒙古,2020,562,490
遵义医科大学医学与科技学院,西南石油大学,120,111,97,64,47,40,72,61,69,内蒙古,2022,530,479
襄阳职业技术学院,成都理工大学工程技术学院,84,33,85,55,96,38,86,60,99,江苏,2021,447,391
南方医科大学,南京中医药大学,127,113,102,93,71,38,50,70,90,江苏,2017,552,544
重庆中医药学院,中国海洋大学,100,105,145,78,46,35,64,75,92,贵州,2022,581,509
郑州商学院,天津海运职业学院,73,100,75,83,52,52,52,55,45,山东,2024,400,435
重庆大学,深圳大学,132,144,133,60,54,65,62,67,39,北京,2016,577,588
广州大学,成都师范学院,96,150,89,91,62,48,66,35,42,贵州,2024,478,536
上海电力大学,上海政法学院,146,122,50,74,50,97,92,37,90,河北,2018,537,539
景德镇艺术职业大学,渭南职业技术学院,79,111,57,76,65,38,61,38,31,甘肃,2022,377,426
湖南三一工业职业技术学院,长江师范学院,106,35,73,48,30,39,61,83,99,江苏,2019,457,331
青岛恒星科技学院,郑州商学院,60,70,110,69,65,66,82,72,41,北京,2019,435,440
湖南师范大学,华东理工大学,139,92,99,92,55,64,97,75,80,甘肃,2021,582,541
上海海关学院,辽宁大学,90,130,123,100,35,72,86,94,43,安徽,2025,566,550
广西外国语学院,天津海运职业学院,121,34,53,39,98,72,75,75,41,青海,2025,399,417
四川大学锦江学院,贵州师范大学,134,70,61,51,35,94,84,48,96,湖北,2023,493,445
重庆机电职业技术大学,日照职业技术学院,124,57,53,36,74,69,43,55,56,云南,2024,388,413
西北政法大学,四川农业大学,107,140,102,51,89,56,65,40,68,西藏,2017,522,545
