id,name,address,info,img,score,weici,school_types,school_pici,school_leibie
330,清华大学,北京市海淀区,物理类本科批普通类双一流最低分/最低位次：633/2255,https://static-data.gaokao.cn/upload/logo/330.jpg,633,2255,物理,本科批,普通
104,中山大学,广东广州市,物理类本科批普通类双一流最低分/最低位次：630/2533,https://static-data.gaokao.cn/upload/logo/104.jpg,630,2533,物理,本科批,普通
52,北京师范大学,北京市海淀区,物理类本科批普通类双一流最低分/最低位次：630/2533,https://static-data.gaokao.cn/upload/logo/52.jpg,630,2533,物理,本科批,普通
48,北京邮电大学,北京市海淀区,物理类本科批普通类双一流最低分/最低位次：630/2533,https://static-data.gaokao.cn/upload/logo/48.jpg,630,2533,物理,本科批,普通
1457,哈尔滨工业大学（威海）,山东威海市,物理类本科批普通类双一流最低分/最低位次：629/2609,https://static-data.gaokao.cn/upload/logo/1457.jpg,629,2609,物理,本科批,普通
109,东南大学,江苏南京市,物理类本科批普通类双一流最低分/最低位次：628/2711,https://static-data.gaokao.cn/upload/logo/109.jpg,628,2711,物理,本科批,普通
131,华东师范大学,上海市闵行区,物理类本科批普通类双一流最低分/最低位次：627/2814,https://static-data.gaokao.cn/upload/logo/131.jpg,627,2814,物理,本科批,普通
127,华中科技大学,湖北武汉市,物理类本科批普通类双一流最低分/最低位次：626/2912,https://static-data.gaokao.cn/upload/logo/127.jpg,626,2912,物理,本科批,普通
130,上海财经大学,上海市杨浦区,物理类本科批普通类双一流最低分/最低位次：624/3142,https://static-data.gaokao.cn/upload/logo/130.jpg,624,3142,物理,本科批,普通
107,西北工业大学,陕西西安市,物理类本科批普通类双一流最低分/最低位次：624/3142,https://static-data.gaokao.cn/upload/logo/107.jpg,624,3142,物理,本科批,普通
102,厦门大学,福建厦门市,物理类本科批普通类双一流最低分/最低位次：623/3266,https://static-data.gaokao.cn/upload/logo/102.jpg,623,3266,物理,本科批,普通
566,中央财经大学,北京市海淀区,物理类本科批普通类双一流最低分/最低位次：623/3266,https://static-data.gaokao.cn/upload/logo/566.jpg,623,3266,物理,本科批,普通
60,天津大学,天津市南开区,物理类本科批普通类双一流最低分/最低位次：622/3396,https://static-data.gaokao.cn/upload/logo/60.jpg,622,3396,物理,本科批,普通
138,大连理工大学,辽宁大连市,物理类本科批普通类双一流最低分/最低位次：621/3539,https://static-data.gaokao.cn/upload/logo/138.jpg,621,3539,物理,本科批,普通
57,西安电子科技大学,陕西西安市,物理类本科批普通类双一流最低分/最低位次：621/3539,https://static-data.gaokao.cn/upload/logo/57.jpg,621,3539,物理,本科批,普通
53,对外经济贸易大学,北京市朝阳区,物理类本科批普通类双一流最低分/最低位次：620/3673,https://static-data.gaokao.cn/upload/logo/53.jpg,620,3673,物理,本科批,普通
105,华南理工大学,广东广州市,物理类本科批普通类双一流最低分/最低位次：613/4622,https://static-data.gaokao.cn/upload/logo/105.jpg,613,4622,物理,本科批,普通
569,中国政法大学,北京市昌平区,物理类本科批普通类双一流最低分/最低位次：609/5212,https://static-data.gaokao.cn/upload/logo/569.jpg,609,5212,物理,本科批,普通
38,北京交通大学,北京市海淀区,物理类本科批普通类双一流最低分/最低位次：605/5898,https://static-data.gaokao.cn/upload/logo/38.jpg,605,5898,物理,本科批,普通
558,中国传媒大学,北京市朝阳区,物理类本科批普通类双一流最低分/最低位次：600/6806,https://static-data.gaokao.cn/upload/logo/558.jpg,600,6806,物理,本科批,普通
123,西安交通大学,陕西西安市,物理类本科批普通类双一流最低分/最低位次：633/2255,https://static-data.gaokao.cn/upload/logo/123.jpg,633,2255,物理,本科批,普通
99,四川大学,四川成都市,物理类本科批普通类双一流最低分/最低位次：596/7570,https://static-data.gaokao.cn/upload/logo/99.jpg,596,7570,物理,本科批,普通
39,北京外国语大学,北京市海淀区,物理类本科批普通类双一流最低分/最低位次：596/7570,https://static-data.gaokao.cn/upload/logo/39.jpg,596,7570,物理,本科批,普通
1219,山东大学（威海）,山东威海市,物理类本科批普通类双一流最低分/最低位次：595/7761,https://static-data.gaokao.cn/upload/logo/1219.jpg,595,7761,物理,本科批,普通
160,南京邮电大学,江苏南京市,物理类本科批普通类双一流最低分/最低位次：595/7761,https://static-data.gaokao.cn/upload/logo/160.jpg,595,7761,物理,本科批,普通
44,湖南大学,湖南长沙市,物理类本科批普通类双一流最低分/最低位次：591/8574,https://static-data.gaokao.cn/upload/logo/44.jpg,591,8574,物理,本科批,普通
144,北京科技大学,北京市海淀区,物理类本科批普通类双一流最低分/最低位次：590/8793,https://static-data.gaokao.cn/upload/logo/144.jpg,590,8793,物理,本科批,普通
136,上海外国语大学,上海市虹口区,物理类本科批普通类双一流最低分/最低位次：589/9013,https://static-data.gaokao.cn/upload/logo/136.jpg,589,9013,物理,本科批,普通
126,山东大学,山东济南市,物理类本科批普通类双一流最低分/最低位次：588/9265,https://static-data.gaokao.cn/upload/logo/126.jpg,588,9265,物理,本科批,普通
119,重庆大学,重庆市沙坪坝区,物理类本科批普通类双一流最低分/最低位次：584/10187,https://static-data.gaokao.cn/upload/logo/119.jpg,584,10187,物理,本科批,普通
576,中国人民公安大学,北京市西城区,物理类本科批普通类双一流最低分/最低位次：584/10187,https://static-data.gaokao.cn/upload/logo/576.jpg,584,10187,物理,本科批,普通
76,上海大学,上海市宝山区,物理类本科批普通类双一流最低分/最低位次：583/10429,https://static-data.gaokao.cn/upload/logo/76.jpg,583,10429,物理,本科批,普通
133,华东理工大学,上海市徐汇区,物理类本科批普通类双一流最低分/最低位次：581/10917,https://static-data.gaokao.cn/upload/logo/133.jpg,581,10917,物理,本科批,普通
45,中央民族大学,北京市海淀区,物理类本科批普通类双一流最低分/最低位次：581/10917,https://static-data.gaokao.cn/upload/logo/45.jpg,581,10917,物理,本科批,普通
61,中国海洋大学,山东青岛市,物理类本科批普通类双一流最低分/最低位次：580/11199,https://static-data.gaokao.cn/upload/logo/61.jpg,580,11199,物理,本科批,普通
67,安徽大学,安徽合肥市,物理类本科批普通类双一流最低分/最低位次：580/11199,https://static-data.gaokao.cn/upload/logo/67.jpg,580,11199,物理,本科批,普通
