like_school,wenke_school,chinese,math,english,physics,chemistry,biology,politics,history,geography,location,time,wenke_score,like_score
浙江工业大学,贵州黔南经济学院,112,59,66,83,81,32,72,89,44,安徽,2020,442,433
长江师范学院,辽宁大学,126,139,68,35,53,36,65,100,69,天津,2025,567,457
长沙师范学院,西南大学,130,117,51,34,39,98,86,96,60,湖北,2019,540,469
襄阳职业技术学院,渭南职业技术学院,78,55,92,78,56,32,46,73,33,江西,2020,377,391
成都理工大学,上海海关学院,95,114,118,55,78,67,61,72,90,黑龙江,2025,550,527
广州新华学院,武汉生物工程学院,83,90,100,56,47,36,38,38,95,吉林,2024,444,412
山东师范大学,重庆医科大学,82,139,122,30,46,82,89,35,46,北京,2019,513,501
哈尔滨医科大学,江南大学,133,121,121,53,55,35,57,46,78,四川,2024,556,518
海南科技职业大学,渭南职业技术学院,63,69,69,31,39,64,84,58,30,辽宁,2019,373,335
山东畜牧兽医职业学院,重庆城市科技学院,133,91,45,45,36,56,78,33,34,新疆,2021,414,406
川北医学院,湖南科技职业学院,68,67,114,63,94,90,46,72,40,湖南,2024,407,496
四川警察学院,宁波大学,141,79,140,93,41,35,37,44,93,江苏,2025,534,529
湖北汽车工业学院,浙江海洋大学,144,75,88,45,74,63,59,30,92,上海,2018,488,489
沈阳医学院,山东师范大学,74,74,101,72,80,99,76,97,79,上海,2018,501,500
珠海科技学院,长沙师范学院,70,34,147,53,68,64,67,68,83,西藏,2021,469,436
湖南医药学院,成都师范学院,120,81,51,91,99,69,95,38,93,北京,2023,478,511
重庆工程学院,成都航空职业技术学院,95,33,134,44,33,80,39,62,39,广东,2018,402,419
湖南医药学院,四川农业大学,65,112,100,77,75,82,72,78,95,黑龙江,2024,522,511
桂林理工大学,齐齐哈尔大学,141,62,103,84,57,33,77,31,54,北京,2025,468,480
浙江理工大学,福州大学,132,89,116,79,39,66,64,96,58,辽宁,2018,555,521
长沙学院,山东财经大学,107,84,80,64,85,62,81,91,42,广西,2019,485,482
湘潭医卫职业技术学院,重庆对外经贸学院,69,84,54,48,75,50,89,69,57,陕西,2016,422,380
上海外国语大学,浙江理工大学,146,121,92,93,91,47,50,64,48,陕西,2020,521,590
湘潭大学,中山大学,125,148,76,61,85,30,100,85,97,福建,2024,631,525
重庆人文科技学院,成都大学,120,44,110,67,42,60,93,30,70,湖北,2016,467,443
珠海科技学院,浙江工业大学,106,93,45,81,55,56,56,91,42,宁夏,2019,433,436
安阳师范学院,广州科技贸易职业学院,82,122,46,67,75,89,47,31,46,河北,2024,374,481
山东财经大学,苏州科技大学,149,98,62,41,39,96,64,86,49,上海,2025,508,485
湖北中医药大学,武汉轻工大学,128,98,83,58,49,83,76,57,55,广西,2025,497,499
西昌学院,浙江工业大学,65,97,88,94,62,52,64,49,71,青海,2019,434,458
河南护理职业学院,西安职业技术学院,94,36,68,56,35,96,92,31,36,安徽,2019,357,385
广东药科大学,广东医科大学,141,115,64,96,40,39,75,64,73,吉林,2025,532,495
福州大学,深圳大学,132,74,146,96,38,69,81,56,88,福建,2024,577,555
重庆大学,四川大学,124,134,145,40,91,54,69,30,97,宁夏,2022,599,588
宁波大学,长江师范学院,116,34,128,63,99,94,47,61,71,重庆,2020,457,534
成都航空职业技术学院,浙江工业大学,90,44,106,59,51,52,53,68,73,辽宁,2021,434,402
成都中医药大学,湖北汽车工业学院,104,106,105,60,95,42,32,86,56,辽宁,2025,489,512
湘潭大学,南京师范大学,140,33,138,72,46,96,78,96,77,河南,2019,562,525
长江师范学院,西北政法大学,86,122,82,91,43,33,93,91,71,上海,2024,545,457
四川工业科技学院,贵阳学院,142,32,54,58,64,91,53,100,84,四川,2021,465,441
重庆人文科技学院,四川文化艺术学院,61,106,89,91,50,46,50,51,81,海南,2021,438,443
百色学院,渭南职业技术学院,72,116,50,71,55,92,47,52,40,北京,2019,377,456
辽宁大学,辽宁大学,119,112,102,81,78,74,70,87,78,宁夏,2018,568,566
成都医学院,桂林理工大学,90,145,57,88,93,85,65,82,41,辽宁,2023,480,558
