chinese,math,english,total,school,ifpass
144,147,130,167,340,0
146,108,140,111,361,0
107,73,114,133,654,0
135,127,77,141,476,1
96,40,143,295,373,0
125,96,130,79,692,0
100,56,132,49,686,0
143,127,105,155,664,0
125,66,131,58,506,0
76,100,71,231,639,0
140,150,124,204,639,0
95,73,150,141,552,0
73,67,105,37,613,0
117,62,88,300,383,0
95,66,61,113,481,0
92,121,66,224,383,0
89,81,77,247,484,1
98,101,129,131,552,0
143,130,46,287,450,0
86,81,109,208,435,1
127,53,81,133,429,0
123,96,143,133,311,0
132,114,79,50,368,1
150,148,136,50,630,0
137,70,136,219,488,0
121,48,65,67,314,0
112,104,144,195,355,0
63,149,127,33,337,1
99,53,63,38,461,0
93,100,107,131,556,0
131,106,129,152,388,0
97,129,115,163,484,1
136,111,87,115,322,0
79,102,114,296,688,0
149,131,91,114,575,0
87,126,130,163,379,0
81,114,130,108,506,0
85,62,113,66,677,0
108,66,42,104,451,0
125,94,124,207,461,0
105,135,130,243,683,0
124,30,70,84,547,0
132,107,112,47,642,0
145,150,43,131,503,0
91,85,114,88,621,0
108,59,81,145,573,0
60,65,93,274,618,0
145,92,68,275,598,0
81,121,106,134,671,0
100,86,76,272,472,0
90,86,112,195,587,0
126,43,121,208,451,1
90,71,55,62,431,0
96,88,86,35,549,0
146,43,107,93,325,0
99,115,111,95,440,0
107,69,109,258,499,1
119,30,46,75,649,0
126,89,116,172,510,0
95,119,67,88,421,0
67,111,93,293,699,0
111,72,123,239,396,0
91,60,124,185,413,1
84,58,94,155,339,0
135,95,105,270,505,0
122,60,70,293,590,0
135,149,59,119,520,0
92,143,112,180,644,0
94,95,139,224,668,0
85,132,102,81,374,1
128,44,131,223,415,0
140,59,107,132,677,0
93,88,141,279,416,0
123,128,75,185,525,0
90,35,63,39,592,0
66,52,72,123,565,0
147,78,144,110,419,0
64,113,90,234,467,1
105,144,140,99,610,0
145,142,127,99,433,0
100,119,40,283,587,0
141,74,96,37,428,0
118,133,82,150,625,0
92,31,77,134,643,0
120,58,149,31,682,0
120,59,140,236,441,0
101,87,120,289,380,0
132,39,58,135,567,0
141,123,44,206,630,0
145,121,135,105,423,0
127,45,78,215,566,0
118,76,112,180,458,1
108,133,72,190,444,0
65,89,103,70,335,0
120,150,139,172,697,0
83,117,143,70,679,0
131,72,87,74,447,0
91,71,65,297,547,0
78,30,56,234,436,0
104,63,78,95,562,0
140,124,135,198,327,0
71,134,118,55,622,0
85,64,47,226,485,0
101,98,58,157,486,0
119,64,106,279,392,0
124,145,65,141,678,0
107,49,42,271,526,0
108,112,137,297,639,1
86,36,97,300,699,0
124,120,82,208,659,0
87,78,94,163,592,0
128,67,53,281,600,0
122,145,89,273,379,0
147,148,123,47,405,0
61,30,132,105,384,0
135,105,78,294,521,0
67,133,52,255,382,0
104,120,40,172,350,0
98,47,104,267,468,1
63,59,120,197,563,0
100,63,143,175,473,1
100,67,138,38,406,0
90,116,107,215,388,0
73,58,64,85,657,0
143,102,105,181,501,1
129,125,70,87,497,0
121,118,47,63,513,0
92,42,49,84,503,0
128,140,110,143,363,0
121,53,92,175,662,0
95,100,101,156,564,0
107,61,55,102,466,0
92,57,68,75,302,0
72,45,89,160,301,0
96,139,51,281,470,0
61,100,58,139,679,0
88,79,117,113,458,0
143,55,143,265,304,0
107,128,45,96,617,0
84,45,115,172,613,0
108,40,101,229,489,0
101,104,101,291,504,0
141,37,52,141,305,0
94,140,136,240,426,0
93,37,102,191,658,0
100,131,127,117,672,0
82,103,87,130,456,0
74,146,46,173,466,0
101,114,132,77,445,0
76,96,47,73,568,0
76,83,52,119,611,0
100,39,78,173,617,0
77,118,131,48,612,0
